Vereador,Partido,Projeto: PLE 026/15 - PROC. 2098/15 - REQ. RETIRADA DA PRIORIZAÇÃO - Data de votação: 21/12/2015 - Autoria: GOVERNO MUNICIPAL - Resultado: Rejeitado - Horário de início: 19:33:40  - Horário de término: 19:36:23 - Link para projeto: http://camarapoa.rs.gov.br/processos/126381
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Sim
Bernardino Vendruscolo,PROS,Não votou
Carlos Casartelli,PTB,Não
Clàudio Janta,SDD,Abstenção
Delegado Cleiton,PDT,Não
Dr. Cristaldo,PDT,Não
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Não votou
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Não votou
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PSDB,Não
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Não
Paulinho Ruben Berta,N/A,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Abstenção
Waldir Canal,PRB,Não votou
