Vereador,Partido,Projeto: PLL 067/15 - PROC. 0791/15 - REQ. ADIAMENTO DISCUSSÃO - Data de votação: 21/12/2015 - Autoria: Ver. João Carlos Nedel - Resultado: Votação nula - Horário de início: 23:39:53  - Horário de término: 23:43:09 - Link para projeto: http://camarapoa.rs.gov.br/processos/125010
Airto Ferronato,PSB,Não votou
Alberto Kopittke,PT,Não votou
Bernardino Vendruscolo,PROS,Ausente
Carlos Casartelli,PTB,Não
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Abstenção
Dr. Cristaldo,PDT,Ausente
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Ausente
Dr. Thiago,PDT,Ausente
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Não votou
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Mendes Ribeiro,PMDB,Não votou
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Ausente
Paulinho Motorista,PSB,Não
Paulinho Ruben Berta,N/A,Não votou
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Não votou
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Não votou
Waldir Canal,PRB,Ausente
