Vereador,Partido,Projeto: PLCL 022/15 - PROC. 1958/15 - VETO TOTAL - Data de votação: 02/03/2016 - Autoria: Ver. Márcio Bins Ely - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 15:42:18  - Horário de término: 15:45:55 - Link para projeto: http://camarapoa.rs.gov.br/processos/126233
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Justificado
Bernardino Vendruscolo,PROS,Não
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Abstenção
Dinho do Grêmio,DEM,Não
Dr. Goulart,PTB,Não
Dr. Raul Fraga,PMDB,Não
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Não
Marcelo Sgarbossa,PT,Não
Mario Manfro,REDE,Não votou
Mauro Pinheiro,REDE,Sim
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Sim
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Não
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PCdoB,Não
Sofia Cavedon,PT,Não
Séfora Gomes Mota,PRB,Ausente
Tarciso Flecha Negra,PSD,Abstenção
Waldir Canal,PRB,Ausente
