Vereador,Partido,Projeto: PELO 004/15 - PROC. 0580/15 - Data de votação: 09/03/2016 - Autoria: Verª Sofia Cavedon - Resultado: Aprovado - Horário de início: 16:00:38  - Horário de término: 16:04:18 - Link para projeto: http://camarapoa.rs.gov.br/processos/124787
Airto Ferronato,PSB,Sim
Alberto Kopittke,PT,Ausente
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Sim
Dr. Goulart,PTB,Sim
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Não votou
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Não votou
Jussara Cony,PCdoB,Representação externa
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PTB,Sim
Mauro Pinheiro,REDE,Sim
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Abstenção
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Abstenção
Rodrigo Maroni,PCdoB,Sim
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Sim
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Não votou
