Vereador,Partido,Projeto: PLL 101/13 - PROC. 1172/13 - VETO TOTAL - Data de votação: 16/03/2016 - Autoria: do Ver. Clàudio Janta - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 15:39:55  - Horário de término: 15:42:46 - Link para projeto: http://camarapoa.rs.gov.br/processos/118397
Adeli Sell,PT,Abstenção
Airto Ferronato,PSB,Não
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Ausente
Dinho do Grêmio,DEM,Não
Dr. Raul Fraga,PMDB,Abstenção
Dr. Thiago,PDT,Sim
Elizandro Sabino,PTB,Ausente
Engº Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Abstenção
Joao Carlos Nedel,PP,Não
João Bosco Vaz,PDT,Ausente
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Abstenção
Mario Manfro,PTB,Não
Mauro Pinheiro,REDE,Sim
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Ausente
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Abstenção
Rodrigo Maroni,N/A,Não
Sofia Cavedon,PT,Abstenção
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Não
