Vereador,Partido,Projeto: PLL 078/14 - PROC. 0797/14 - Data de votação: 23/03/2016 - Autoria: do Ver. Waldir Canal                             - Resultado: votação nula - Horário de início: 17:01:32  - Horário de término: 17:04:20 - Link para projeto: http://camarapoa.rs.gov.br/processos/121840
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Não votou
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Não votou
Dinho do Grêmio,DEM,Não votou
Dr. Raul Fraga,PMDB,Abstenção
Dr. Thiago,DEM,Sim
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Não votou
Fernanda Melchionna,PSOL,Abstenção
Idenir Cecchim,PMDB,Abstenção
Joao Carlos Nedel,PP,Sim
João Bosco Vaz,PDT,Não votou
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Não votou
Marcelo Sgarbossa,PT,Abstenção
Mario Manfro,PTB,Não votou
Mauro Pinheiro,REDE,Sim
Mendes Ribeiro,PMDB,Abstenção
Márcio Bins Ely,PDT,Não votou
Mônica Leal,PP,Não votou
Nereu D'Avila,PDT,Ausente
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não votou
Prof. Alex Fraga,PSOL,Não votou
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PR,Não votou
Sofia Cavedon,PT,Não votou
Tarciso Flecha Negra,PSD,Não votou
Waldir Canal,PRB,Sim
