Vereador,Partido,Projeto: REQ. S/N. RENOV. VOTAÇÃO PLCL 004/15 - PROC. 0430/15 - Data de votação: 30/03/2016 - Autoria: Verª Lourdes Sprenger - Resultado: Aprovado - Horário de início: 15:43:05  - Horário de término: 15:45:21 - Link para projeto: http://camarapoa.rs.gov.br/processos/124631
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Sim
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Ausente
Delegado Cleiton,PDT,Não votou
Dinho do Grêmio,DEM,Sim
Dr. Goulart,PTB,Ausente
Dr. Raul Fraga,PMDB,Sim
Dr. Thiago,DEM,Sim
Elizandro Sabino,PTB,Ausente
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Ausente
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não votou
João Bosco Vaz,PDT,Sim
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PTB,Não votou
Mauro Pinheiro,REDE,Não votou
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Justificado
Mônica Leal,PP,Sim
Nereu D'Avila,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PR,Sim
Sofia Cavedon,PT,Não votou
Séfora Gomes Mota,PSB,Ausente
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Não votou
