Vereador,Partido,Projeto: REQ. 032/16 - PROC. 0916/16 - Data de votação: 20/04/2016 - Autoria: Ver. Valter Nagelstein - Resultado: Aprovado - Horário de início: 16:43:56  - Horário de término: 16:46:38 - Link para projeto: http://camarapoa.rs.gov.br/processos/128284
Adeli Sell,PT,Não
Airto Ferronato,PSB,Não
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Não
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Sim
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Sim
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Não
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Não votou
Jussara Cony,PCdoB,Não
Kevin Krieger,PP,Não votou
Lourdes Sprenger,PMDB,Sim
Luciano Marcantônio,PTB,Não
Marcelo Sgarbossa,PT,Não
Mario Manfro,PTB,Não votou
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Ausente
Mendes Ribeiro,PMDB,Sim
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Não
Reginaldo Pujol,DEM,Sim
Rodrigo Maroni,PR,Não votou
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Ausente
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Sim
