Vereador,Partido,Projeto: PLCE 002/16 - PROC. 0592/16 - MENSAGEM RETIFICATIVA - Data de votação: 16/05/2016 - Autoria: Governo Municipal - Resultado: Aprovado - Horário de início: 17:44:37  - Horário de término: 17:47:13 - Link para projeto: http://camarapoa.rs.gov.br/processos/127955
Adeli Sell,PT,Abstenção
Airto Ferronato,PSB,Sim
André Carús,PMDB,Sim
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Sim
Clàudio Janta,SDD,Abstenção
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Não votou
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Não votou
Elizandro Sabino,PTB,Sim
Engº Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Não
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Sim
Jussara Cony,PCdoB,Não votou
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Abstenção
Luciano Marcantônio,PTB,Sim
Marcelo Sgarbossa,PT,Ausente
Mario Manfro,PTB,Sim
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Sim
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Não votou
Reginaldo Pujol,DEM,Ausente
Rodrigo Maroni,PR,Sim
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Sim
Waldir Canal,PRB,Não votou
