Vereador,Partido,Projeto: PLL 244/14 - VETO PARCIAL - PROC. 2638/14 - Data de votação: 30/05/2016 - Autoria: Ver. Kevin Krieger - Resultado: Rejeitado - Horário de início: 15:49:49  - Horário de término: 15:52:29 - Link para projeto: http://camarapoa.rs.gov.br/processos/123752
Adeli Sell,PT,Ausente
Airto Ferronato,PSB,Não
Bernardino Vendruscolo,PROS,Não
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Não
Dr. Goulart,PTB,Ausente
Dr. Thiago,DEM,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Abstenção
Fernanda Melchionna,PSOL,Abstenção
Guilherme Socias Villela,PP,Ausente
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Ausente
Kevin Krieger,PP,Não
Lourdes Sprenger,PMDB,Ausente
Luciano Marcantônio,PTB,Ausente
Marcelo Sgarbossa,PT,Abstenção
Mario Manfro,PTB,Não
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Não
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Ausente
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Abstenção
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PR,Não
Sofia Cavedon,PT,Abstenção
Tarciso Flecha Negra,PSD,Ausente
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não
