Vereador,Partido,Projeto: PLL 067/15 - PROC. 0791/15 - VETO TOTAL - Data de votação: 06/10/2016 - Autoria: Ver. João Carlos Nedel - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 15:30:01  - Horário de término: 15:32:23 - Link para projeto: http://camarapoa.rs.gov.br/processos/125010
Airto Ferronato,PSB,Não
Bernardino Vendruscolo,PROS,Não votou
Cassio Trogildo,PTB,Não
Clàudio Janta,SDD,Ausente
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Não votou
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Não votou
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Não
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não
João Ezequiel,PSOL,Não
Jussara Cony,PCdoB,Não
Kevin Krieger,PP,Ausente
Lourdes Sprenger,PMDB,Não votou
Luciano Marcantônio,PTB,Ausente
Marcelo Sgarbossa,PT,Não
Mario Manfro,PTB,Não
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Ausente
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Ausente
Prof. Alex Fraga,PSOL,Não
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PR,Ausente
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Não
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Ausente
