Vereador,Partido,Projeto: PLE 014/16 - PROC. 1221/16 - EMENDA 03 - Data de votação: 20/10/2016 - Autoria: Executivo Municipal - Resultado: Rejeitado - Horário de início: 10:06:02  - Horário de término: 10:08:08 - Link para projeto: http://camarapoa.rs.gov.br/processos/128599
Adeli Sell,PT,Não
Airto Ferronato,PSB,Não
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Sim
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Ausente
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Ausente
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Representação externa
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Não votou
João Ezequiel,PSOL,Ausente
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Sim
Lourdes Sprenger,PMDB,Não
Luciano Marcantônio,PTB,Ausente
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PTB,Ausente
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Não
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Ausente
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Reginaldo Pujol,DEM,Ausente
Rodrigo Maroni,PR,Ausente
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Sim
