Vereador,Partido,Projeto: PLL 221/16 - PROC. 2219/16 - EMENDA 01 - Data de votação: 21/11/2016 - Autoria: Ver. Bernardino Vendruscolo - Resultado: Aprovado - Horário de início: 16:28:47  - Horário de término: 16:30:49 - Link para projeto: http://camarapoa.rs.gov.br/processos/129634
Adeli Sell,PT,Sim
Bernardino Vendruscolo,PROS,Sim
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Ausente
Delegado Cleiton,PDT,Não votou
Dinho do Grêmio,DEM,Não votou
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Abstenção
Guilherme Socias Villela,PP,Sim
Idenir Cecchim,PMDB,Sim
Joao Carlos Nedel,PP,Não votou
José Freitas,PRB,Abstenção
João Bosco Vaz,PDT,Abstenção
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Abstenção
Lourdes Sprenger,PMDB,Abstenção
Luciano Marcantônio,PTB,Sim
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PTB,Sim
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Abstenção
Mendes Ribeiro,PMDB,Sim
Márcio Bins Ely,PDT,Representação externa
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Prof. Alex Fraga,PSOL,Sim
Rafael Cavalheiro,N/A,Sim
Reginaldo Pujol,DEM,Não votou
Rodrigo Maroni,PR,Não votou
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
Waldir Canal,PRB,Não
