Vereador,Partido,Projeto: PLCL 001/16 - PROC. 0046/16 - Data de votação: 24/11/2016 - Autoria: Marcelo Sgarbossa - Resultado: Rejeitado - Horário de início: 15:51:24  - Horário de término: 15:54:10 - Link para projeto: http://camarapoa.rs.gov.br/processos/127390
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Não
Bernardino Vendruscolo,PROS,Não votou
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Não
Dinho do Grêmio,DEM,Sim
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Não
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Ausente
Lourdes Sprenger,PMDB,Ausente
Luciano Marcantônio,PTB,Não
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PTB,Não
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Não
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Justificado
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PR,Ausente
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Ausente
Waldir Canal,PRB,Ausente
