Vereador,Partido,Projeto: PLL 232/14 - PROC. 2510/14 - EMENDA 18 - ART. 3º - Data de votação: 22/12/2016 - Autoria: Verª Jussara Cony e outros - Resultado: Rejeitado - Horário de início: 15:24:06  - Horário de término: 15:27:01 - Link para projeto: http://camarapoa.rs.gov.br/processos/123623
Adeli Sell,PT,Ausente
Airto Ferronato,PSB,Sim
Bernardino Vendruscolo,PROS,Não
Cassio Trogildo,PTB,Não votou
Clàudio Janta,SDD,Não votou
Delegado Cleiton,PDT,Sim
Dinho do Grêmio,DEM,Ausente
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Não
Elizandro Sabino,PTB,Não
Engº Comassetto,PT,Sim
Fernanda Melchionna,PSOL,Sim
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Ausente
Joao Carlos Nedel,PP,Não
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Não
Jussara Cony,PCdoB,Sim
Kevin Krieger,PP,Não votou
Lourdes Sprenger,PMDB,Ausente
Luciano Marcantônio,PTB,Ausente
Marcelo Sgarbossa,PT,Sim
Mario Manfro,PTB,Não votou
Mauro Pinheiro,REDE,Não votou
Mauro Zacher,PDT,Abstenção
Mendes Ribeiro,PMDB,Não
Márcio Bins Ely,PDT,Não votou
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não
Prof. Alex Fraga,PSOL,Sim
Reginaldo Pujol,DEM,Não
Rodrigo Maroni,PR,Não votou
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não
Waldir Canal,PRB,Não votou
