Vereador,Partido,Projeto: PLCL 007/15 - PROC. 0586/15 - VETO TOTAL - Data de votação: 02/03/2017 - Autoria: Ver. Márcio Bins Ely - Resultado: sem quorum deliberativo - Horário de início: 17:36:45  - Horário de término: 17:39:10 - Link para projeto: http://camarapoa.rs.gov.br/processos/124793
Adeli Sell,PT,Não votou
Airto Ferronato,PSB,Não votou
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Não
André Carús,PMDB,Não votou
Cassio Trogildo,PTB,Não
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não
Cláudio Conceição,DEM,Não votou
Comandante Nádia,PMDB,Não votou
Dr. Goulart,PTB,Não votou
Dr. Thiago,DEM,Não votou
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Não
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Não
João Bosco Vaz,PDT,Ausente
João Carlos Nedel,PP,Não votou
Luciano Marcantonio,PTB,Não
Marcelo Sgarbossa,PT,Ausente
Matheus Ayres,PP,Não votou
Mauro Pinheiro,REDE,Não votou
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Não votou
Moisés Barboza,PSDB,Não votou
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Ausente
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não votou
Professor Alex Fraga,PSOL,Não
Professor Wambert,PROS,Não votou
Roberto Robaina,PSOL,Não
Rodrigo Maroni,PR,Não votou
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Sim
