Vereador,Partido,Projeto: PLCL 025/11 - PROC. 0816/11 - VETO TOTAL - Data de votação: 09/03/2017 - Autoria: do Ver. Engenheiro Comassetto                       - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 16:04:36  - Horário de término: 16:06:44 - Link para projeto: http://camarapoa.rs.gov.br/processos/110992
Airto Ferronato,PSB,Não
Alvoni Medina,PRB,Não
André Carús,PMDB,Não
Cassio Trogildo,PTB,Não
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Não
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Não
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Não
Iyá Vera Soares,PT,Sim
José Freitas,PRB,Não
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não
Laura Sito,PT,Sim
Luciano Marcantonio,PTB,Não
Margarete Moraes,PT,Sim
Matheus Ayres,PP,Não
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Não
Moisés Barboza,PSDB,Não
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Professor Alex Fraga,PSOL,Sim
Professor Wambert,PROS,Não
Reginaldo Pujol,DEM,Não
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PR,Não
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Não
Valter Nagelstein,PMDB,Não
