Vereador,Partido,Projeto: PLL 027/16 - PROC. 0347/16 - VETO TOTAL - Data de votação: 09/03/2017 - Autoria: Ver. Delegado Cleiton - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 16:08:47  - Horário de término: 16:11:14 - Link para projeto: http://camarapoa.rs.gov.br/processos/127703
Airto Ferronato,PSB,Não
Alvoni Medina,PRB,Não
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Não
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Não
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Não
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Não
Iyá Vera Soares,PT,Sim
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não votou
João Carlos Nedel,PP,Não
Laura Sito,PT,Sim
Luciano Marcantonio,PTB,Não
Margarete Moraes,PT,Sim
Matheus Ayres,PP,Não
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Não
Moisés Barboza,PSDB,Não
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Não votou
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Professor Alex Fraga,PSOL,Sim
Professor Wambert,PROS,Não
Reginaldo Pujol,DEM,Não votou
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PR,Não
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não
