Vereador,Partido,Projeto: PLL 029/15 - PROC. 0328/15 - VETO TOTAL - Data de votação: 16/03/2017 - Autoria: Ver. Clàudio Janta - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 16:59:16  - Horário de término: 17:01:24 - Link para projeto: http://camarapoa.rs.gov.br/processos/124525
Adeli Sell,PT,Não votou
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Não
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Não
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Não
Dr. Goulart,PTB,Não votou
Dr. Thiago,DEM,Não votou
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não
Luciano Marcantonio,PTB,Não
Marcelo Sgarbossa,PT,Não
Matheus Ayres,PP,Não
Mauro Pinheiro,REDE,Não votou
Mendes Ribeiro,PMDB,Não
Moisés Barboza,PSDB,Não
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Professor Alex Fraga,PSOL,Sim
Professor Wambert,PROS,Não
Reginaldo Pujol,DEM,Não votou
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PR,Não votou
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Não
