Vereador,Partido,Projeto: PLCL 015/13 - PROC. 1578/13 - Data de votação: 04/05/2017 - Autoria: Ver. Idenir Cecchim - Resultado: Rejeitado - Horário de início: 17:37:24  - Horário de término: 17:40:05 - Link para projeto: http://camarapoa.rs.gov.br/processos/118823
Adeli Sell,PT,Não
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Sim
Cassiá Carpes,PP,Sim
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Sim
Dr. Goulart,PTB,Representação externa
Dr. Thiago,DEM,Ausente
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Não
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Sim
Luciano Marcantonio,PTB,Sim
Marcelo Sgarbossa,PT,Não
Matheus Ayres,PP,Sim
Mauro Zacher,PDT,Ausente
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Ausente
Monica Leal,PP,Não votou
Márcio Bins Ely,PDT,Não votou
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Ausente
Professor Alex Fraga,PSOL,Não
Professor Tóvi,REDE,Abstenção
Professor Wambert,PROS,Sim
Reginaldo Pujol,DEM,Sim
Roberto Robaina,PSOL,Não
Rodrigo Maroni,PR,Sim
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não
