Vereador,Partido,Projeto: PLL 241/16 - PROC. 2431/16 - EMENDA 01 - Data de votação: 22/05/2017 - Autoria: Verª Fernanda Melchionna e Ver. Prof. Alex Fraga - Resultado: Aprovado - Horário de início: 17:17:46  - Horário de término: 17:19:40 - Link para projeto: http://camarapoa.rs.gov.br/processos/129850
Adeli Sell,PT,Não votou
Airto Ferronato,PSB,Sim
Aldacir Oliboni,PT,Sim
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Não votou
Cassiá Carpes,PP,Sim
Clàudio Janta,SDD,Sim
Comandante Nádia,PMDB,Ausente
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Não
Felipe Camozzato,NOVO,Sim
Fernanda Melchionna,PSOL,Sim
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Não
Luciano Marcantonio,PTB,Sim
Marcelo Sgarbossa,PT,Sim
Matheus Ayres,PP,Não votou
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Ausente
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Sim
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Justificado
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Sim
Professor Wambert,PROS,Sim
Reginaldo Pujol,DEM,Não votou
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PR,Ausente
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Sim
