Vereador,Partido,Projeto: REQ. ADIAMENTO DA DISCUSSÃO DO PLE 002/17 POR TRÊS SESSÕES - PROC. 1305/17 - Data de votação: 31/05/2017 - Autoria: Governo Municipal - Resultado: Rejeitado - Horário de início: 15:21:00  - Horário de término: 15:27:54 - Link para projeto: http://camarapoa.rs.gov.br/processos/131590
Adeli Sell,PT,Não
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Não
André Carús,PMDB,Não
Cassio Trogildo,PTB,Não votou
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Sim
Comandante Nádia,PMDB,Não
Dr. Thiago,DEM,Não
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Não
Idenir Cecchim,PMDB,Não
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Sim
Luciano Marcantonio,PTB,Sim
Marcelo Sgarbossa,PT,Não
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Ausente
Mendes Ribeiro,PMDB,Não
Moisés Barboza,PSDB,Não
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Não
Professor Wambert,PROS,Sim
Rafão Oliveira,PTB,Sim
Reginaldo Pujol,DEM,Não
Ricardo Gomes,PP,Não
Roberto Robaina,PSOL,Não
Rodrigo Maroni,PR,Sim
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Não
Valter Nagelstein,PMDB,Não
