Vereador,Partido,Projeto: PLL 132/15 - PROC. 1389/15 - EMENDA 03 - Data de votação: 02/08/2017 - Autoria: Ver. Prof. Alex Fraga e da Verª Fernanda Melchionna - Resultado: Rejeitado - Horário de início: 17:09:38  - Horário de término: 17:11:54 - Link para projeto: http://camarapoa.rs.gov.br/processos/125633
Adeli Sell,PT,Não
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Não
André Carús,PMDB,Não
Carolina Rousseff,N/A,Não
Cassio Trogildo,PTB,Não votou
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Não
Dr. Goulart,PTB,Não votou
Dr. Thiago,DEM,Não
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Não
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não votou
Luciano Marcantonio,PTB,Não
Matheus Ayres,PP,Não
Mauro Pinheiro,REDE,Não votou
Mauro Zacher,PDT,Não
Mendes Ribeiro,PMDB,Não
Moisés Barboza,PSDB,Não votou
Monica Leal,PP,Não
Márcio Bins Ely,PDT,Justificado
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Não
Professor Alex Fraga,PSOL,Não
Professor Bernardo,PT,Não
Professor Wambert,PROS,Não
Reginaldo Pujol,DEM,Não
Roberto Robaina,PSOL,Não
Rodrigo Maroni,PR,Não votou
Tarciso Flecha Negra,PSD,Não
Valter Nagelstein,PMDB,Não votou
