Vereador,Partido,Projeto: PLL 272/16 - PROC. 2662/16 - Data de votação: 25/10/2017 - Autoria: Ver. Rodrigo Maroni - Resultado: Aprovado - Horário de início: 15:24:11  - Horário de término: 15:27:07 - Link para projeto: http://camarapoa.rs.gov.br/processos/130088
Adeli Sell,PT,Não votou
Airto Ferronato,PSB,Sim
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Sim
Cassiá Carpes,PP,Sim
Clàudio Janta,SDD,Sim
Cláudio Conceição,DEM,Sim
Comandante Nádia,PMDB,Sim
Dinho do Grêmio,N/A,Sim
Dr. Goulart,PTB,Sim
Felipe Camozzato,NOVO,Sim
Fernanda Melchionna,PSOL,Não votou
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Sim
Luciano Marcantonio,PTB,Sim
Marcelo Sgarbossa,PT,Não
Mauro Pinheiro,REDE,Ausente
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Ausente
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Não votou
Professor Wambert,PROS,Sim
Ricardo Gomes,PP,Sim
Roberto Robaina,PSOL,Não
Rodrigo Maroni,PODE,Sim
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Sim
