Vereador,Partido,Projeto: PDL 006/17 - PROC. 2863/17 - Data de votação: 01/11/2017 - Autoria: Comissão de Constituição e Justiça - Resultado: Aprovado - Horário de início: 16:14:10  - Horário de término: 16:17:02 - Link para projeto: http://camarapoa.rs.gov.br/processos/133222
Adeli Sell,PT,Não votou
Airto Ferronato,PSB,Ausente
Aldacir Oliboni,PT,Abstenção
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Representação externa
Cassiá Carpes,PP,Sim
Clàudio Janta,SDD,Sim
Comandante Nádia,PMDB,Sim
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Sim
Felipe Camozzato,NOVO,Ausente
Fernanda Melchionna,PSOL,Abstenção
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Sim
João Carlos Nedel,PP,Ausente
Luciano Marcantonio,PTB,Ausente
Marcelo Sgarbossa,PT,Abstenção
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Não votou
Moisés Barboza,PSDB,Sim
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Sim
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Abstenção
Professor Wambert,PROS,Sim
Reginaldo Pujol,DEM,Sim
Ricardo Gomes,PP,Sim
Roberto Robaina,PSOL,Abstenção
Rodrigo Maroni,PODE,Não votou
Sofia Cavedon,PT,Abstenção
Tarciso Flecha Negra,PSD,Ausente
Valter Nagelstein,PMDB,Não votou
