Vereador,Partido,Projeto: PLCL 027/17 - PROC. 1721/17 - VETO PARCIAL - Data de votação: 07/02/2018 - Autoria: Ver. Mendes Ribeiro - Resultado: Aprovado - Horário de início: 15:51:30  - Horário de término: 15:54:16 - Link para projeto: http://camarapoa.rs.gov.br/processos/132030
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Sim
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Sim
Cassiá Carpes,PP,Não votou
Clàudio Janta,SDD,Sim
Comandante Nádia,PMDB,Sim
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Sim
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Sim
Gilson Padeiro,PPS,Não votou
Idenir Cecchim,PMDB,Sim
José Freitas,PRB,Sim
João Carlos Nedel,PP,Não
Karen Santos,PSOL,Sim
Luciano Marcantonio,PTB,Não
Marcelo Sgarbossa,PT,Sim
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Sim
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Não
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Não votou
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Sim
Reginaldo Pujol,DEM,Ausente
Ricardo Gomes,PP,Sim
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PODE,Ausente
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
