Vereador,Partido,Projeto: PLL 048/17 - PROC. 0590/17 - Data de votação: 07/02/2018 - Autoria: Ver. Aldacir Oliboni - Resultado: Aprovado - Horário de início: 16:37:26  - Horário de término: 16:39:34 - Link para projeto: http://camarapoa.rs.gov.br/processos/130860
Adeli Sell,PT,Sim
Airto Ferronato,PSB,Sim
Aldacir Oliboni,PT,Sim
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Não
Cassiá Carpes,PP,Não votou
Clàudio Janta,SDD,Não votou
Comandante Nádia,PMDB,Não votou
Dr. Goulart,PTB,Não
Dr. Thiago,DEM,Sim
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Sim
Gilson Padeiro,PPS,Não
Idenir Cecchim,PMDB,Não
José Freitas,PRB,Sim
João Carlos Nedel,PP,Não votou
Karen Santos,PSOL,Sim
Luciano Marcantonio,PTB,Não
Marcelo Sgarbossa,PT,Sim
Mauro Pinheiro,REDE,Não
Mauro Zacher,PDT,Sim
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Não
Monica Leal,PP,Não votou
Márcio Bins Ely,PDT,Sim
Paulinho Motorista,PSB,Não votou
Paulo Brum,PTB,Não
Reginaldo Pujol,DEM,Sim
Ricardo Gomes,PP,Não
Roberto Robaina,PSOL,Sim
Rodrigo Maroni,PODE,Ausente
Sofia Cavedon,PT,Sim
Tarciso Flecha Negra,PSD,Sim
