Vereador,Partido,Projeto: REQ. RENOVAÇÃO DE VOTAÇÃO DA EMENDA 27 AO PLE 018/17 - PROC. 2057/17 - Data de votação: 28/03/2018 - Autoria: Governo Municipal - Resultado: Aprovado - Horário de início: 18:17:06  - Horário de término: 18:18:52 - Link para projeto: http://camarapoa.rs.gov.br/processos/132378
Adeli Sell,PT,Não
Airto Ferronato,PSB,Não votou
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Sim
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Sim
Cassiá Carpes,PP,Não
Clàudio Janta,SDD,Não
Comandante Nádia,PMDB,Sim
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Ausente
Felipe Camozzato,NOVO,Não
Fernanda Melchionna,PSOL,Não
Idenir Cecchim,PMDB,Não votou
José Freitas,PRB,Sim
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Sim
Luciano Marcantonio,PTB,Sim
Marcelo Sgarbossa,PT,Não
Mauro Pinheiro,REDE,Sim
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Sim
Monica Leal,PP,Sim
Márcio Bins Ely,PDT,Não votou
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Não
Professor Wambert,PROS,Não votou
Reginaldo Pujol,DEM,Sim
Ricardo Gomes,PP,Sim
Roberto Robaina,PSOL,Não votou
Rodrigo Maroni,PODE,Não votou
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Sim
Valter Nagelstein,PMDB,Não votou
