Vereador,Partido,Projeto: PLE 016/17 - PROC. 2036/17 - REQ. RENOVAÇÃO DE VOTAÇÃO DA EMENDA 22 - Data de votação: 18/04/2018 - Autoria: Governo Municipal - Resultado: Rejeitado - Horário de início: 18:14:24  - Horário de término: 18:16:12 - Link para projeto: http://camarapoa.rs.gov.br/processos/132357
Adeli Sell,PT,Não
Airto Ferronato,PSB,Não
Aldacir Oliboni,PT,Não
Alvoni Medina,PRB,Não
André Carús,PMDB,Sim
Cassio Trogildo,PTB,Sim
Cassiá Carpes,PP,Não votou
Clàudio Janta,SDD,Ausente
Comandante Nádia,PMDB,Sim
Dr. Goulart,PTB,Sim
Dr. Thiago,DEM,Não votou
Elizandro Sabino,PTB,Não votou
Felipe Camozzato,NOVO,Não votou
Fernanda Melchionna,PSOL,Não
José Freitas,PRB,Não
João Bosco Vaz,PDT,Não
João Carlos Nedel,PP,Não votou
Lourdes Sprenger,PMDB,Sim
Marcelo Sgarbossa,PT,Não
Mauro Pinheiro,REDE,Não votou
Mauro Zacher,PDT,Não votou
Mendes Ribeiro,PMDB,Sim
Moisés Barboza,PSDB,Ausente
Monica Leal,PP,Ausente
Márcio Bins Ely,PDT,Não
Paulinho Motorista,PSB,Não
Paulo Brum,PTB,Sim
Professor Alex Fraga,PSOL,Não
Professor Wambert,PROS,Não votou
Reginaldo Pujol,DEM,Não
Ricardo Gomes,PP,Sim
Roberto Robaina,PSOL,Não
Rodrigo Maroni,PODE,Não votou
Sofia Cavedon,PT,Não
Tarciso Flecha Negra,PSD,Não votou
Valter Nagelstein,PMDB,Não votou
